Name of the college,District
Arts, Commerce and Science College,
Arts, Commerce and Science College,Chandrapur
Arts, Commerce and Science College,Kolhapur
Arts, Commerce and Science College,Pune
Arts, Commerce and Science College,Sangli
Arts, Commerce College,Amravati
Arts, Commerce College,Satara
Arts, Comomerce & Science College,Nashik
Arts, Comomerce & Science College,Pune
Arts, Science & Commerce College,
Arts, Science & Commerce College,Jalna
Arts, Science & Commerce College,Nashik
Arts, Science & Commerce College,Osmanabad
Arts, Science & Commerce College,Pune
Arts, Science & Commerce College,Sangli
Arts, Science and Commerce College,
Arts, Science and Commerce College,Amravati
Arts, Science and R.A. Patel Commerce College,
Arul Anandar College,Madurai
Arulmigu Kalasalingam College of Arts & Science,Virudhunagar
Arulmigu Kalasalingam College of Education,Virudhunagar
Arulmigu Kalasalingam College of Engineering,Virudhunagar
Arulmigu Kalasalingam College of Pharmacy,Virudhunagar
Arulmigu Palaniandavar College of Arts & Culture,Dindigul
Arumugam Pillai Seethai Ammal College,Sivagangai
Arun Kumar Keshari Mahila Mahavidyalaya,Sonbhadra
Aruna Memorial Saraswati Mahavidyalaya,Mau
Arunachala College of Engineering for Women,
Arunai Engineering College,Tiruvannamalai
Arunodaya Dnyan Prasarak Mandal's Women's College of Arts, Commerce & Home Science,Jalgaon
Arvindbabu Deshmukh Mahavidyalaya,Nagpur
Arya College of Engineering & Information Technology,Jaipur
Arya College of Engineering,
Arya College of Pharmacy,
Arya College,Ludhiana
Arya College,Panipat
Arya Girls College,Ambala
Arya Kanya Degree College,Allahabad
Arya Kanya Degree College,Almora
Arya Kanya Degree College,Hardoi
Arya Kanya Mahavidyalya,Kurukshetra
Arya Kanya Pathshala Degree College,Ghaziabad
Arya Kanya Post Graduate College,Jhansi
Arya Khajano Devi Mahavidyalaya,
Arya Mahila Degree College,Shahjahanpur
Arya Mahila P.G. College,Varanasi
Arya Shikshak Prashikshan Mahavidyalaya,Sikar
Arya Vidyapeeth Kanya Mahavidyalaya,Bharatpur
Arya Vidyapeeth Mahila Teachers' Training college,Bharatpur
Arya Vidyapith College,Kamrup
Aryabhatta College,New Delhi
Aryakul College of Education,Lucknow
Aryakul College of Pharmacy & Research Sitapur,Sitapur
Aryakul College of Pharmacy & Research,
Aryan Institute of Management & Computer Studies,Agra
Aryavart Institute of Higher Education,Lucknow
Asan Memorial College of Engineering & Technology,
Asannagar Madan Mohan Tarkalankar College,Nadia
Asansol Engineering College,Kolkata
Asansol Girls College,
ASC Degree College,Bangalore
Asha Bhagwan Bux Singh Mahavidyalaya,
Asha Mahavidyalaya,Ghazipur
Asha Mahavidyalaya,Varanasi
Asha Singh Mahavidyalaya,Ballia
Asharfi Lal Shukla Mahavidyalaya,Jalaun
Ashbhai Maganbhai Patel College of Commerce,Mumbai
Ashok & Rita Patel Institute of Integrated Study & Research in Biotechnology And Allied Sciences (Aribas),Anand
Ashok Mahavidyalaya,Basti
Ashok Mahavidyalaya,Unnao
Ashok Shukla Mahila Mahavidyalaya,Jalaun
Ashoka College of Education,Jammu
Ashoka Education  Foundation’s Ashoka International Centre for Educational Studies & Research,Nashik
Ashoka Education Foundation’s, Ashoka Center for Business and Computer Studies,Nashik
Ashoka Women’s Engineering College,,Kurnool
Ashrampatana Degree College,
Ashtang Ayruved College,Pune
Ashti Taluka Shikshan Prasarak Mandal's Adv. B.D. Hambarde Mahavidyalaya,
Ashutosh College,
Ashwaghosh Education and Vyayam Prasarak Mandal’s Women’s College of Bachelor in Computer Application,
Asian Educational Institute,
Asian Vidhi Evam Nayaik Vigyan Mahavidyalaya,Bareilly
Asian Worker Dev Institute,
Asim Siddique Memorial Degree College,Budaun
Aska Science College,Ganjam
Asom Sattriya Sangit Mahavidyalaya,Jorhat
ASS & SPS's Sh. Dh. Aggarwal Arts, RA Commerce and C.C.S. And M.G.A. Science College,
Assam Engineering College,Kamrup
Assam Medical College,Dibrugarh
ASSMP'S College of Arts,
Assumption College,
Astron College of Education,
Asufu Christian Institute,Senapati
Atal Behari College,
Atal Bihari Vajpayee Government College,
Atal Bihari Vajpayee Government Degree College,
Atal Bihari Vajpayee Government Degree College,Una
Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior
Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior,Gwalior
Atal Bihari Vajpayee Institute of Medical Science & Dr. Ram Manohar Lohia Hospital,
Atal Bihari Vajpayee Nagar Nigam Degree College,,Lucknow
Atar Singh Degree College,
Atarra Post Graduate College,
Atash College of Management & Technology,
Atharva Educational Trust’s Atharva College of Engineering,,Mumbai
Athawale College of Social Work,
Athmallik College,
Ati Bal Singh Mahavidyalaya,
Atma Prakash Adarsh Mahavidyalaya,Ghazipur
Atma Ram Mahavidyalaya,Budaun
Atma Ram Sanatan Dharma College,New Delhi
Atman College of Education,Jammu
ATME College of Engineering,Mysore
Atmiya Institute of Technology & Science,
Atria Institute of Technology,
Attabira College,
Audisankara College of Engineering & Technology,Sri Potti Sriramulu Nellore
Audisankara Institute of Technology,Sri Potti Sriramulu Nellore
Audyogik Shikshan Mandal’s College of Commerce, Science and Information Technology (CSIT),Pune
Audyogik Shikshan Mandal’s Institute of Business Management & Research (IBMR),Pune
Audyogik Shikshan Mandal’s Institute of International Business & Research (IIBR),Pune
Audyogik Shikshan Mandal’s Institute of Management & Computer Studies,Mumbai
Audyogik Shikshan Mandal’s Institute of Professional Studies (IPS),Pune
Audyogik Tantra Shikshan Sanstha ATSS College of Business Studies & Computer Application,Pune
Aul College,
Aurora’s P.G. College-MBA,
Aurora’s P.G. College-MCA,Hyderabad
Aurora’s Post Graduate College (MBA),Hyderabad
Aurora’s Post Graduate College (MCA),Hyderabad
Aurora’s Technological and Research Institute,
Auurveda & Unani Tibbia College,
Auxilium College of Arts & Science for Women,,
Auxilium College,
Avadh Girls Degree College,
Avanthi Institute of Engineering & Technology,Hyderabad
Avanthi Institute of Engineering and Technology,Visakhapatnam
Avanthi Institute of Engineering, and Technology,Vizianagaram
Avanthi Institute of Pharmaceutical Sciences,  Cherukupally Village,Vizianagaram
AVN Institute of Engineering & Technology,,Rangareddy
AVS College of Arts & Science,Salem
AVS Engineering College,Salem
Avvaiyar Government College for Women,
Awadh Bihari Sanskrit Mahavidyalaya,Khagaria
Awadh Bihari Singh Mahavidyalaya,Vaishali
Awadh Centre of Education for Women,
Awadh Narayan Singh Mahavidyalaya,
Awadhesh Singh Mahavidyalaya,
Awadhesh Suresh Singh Smarak Mahavidyalaya,
Awadhoot Bhagwan Ram P. G. College,
Ayachi Mithila Mahila College,Darbhanga
Ayodhya Prasad Dwivedi Degree College,
Ayodhya Prasad Memorial Degree College,
Ayodhya Prasad Mishra Mahavidyalaya,Unnao
Ayurved Mahavidyalaya,
Ayurvedi Mahavidyalaya Samiti's,
Ayurvedic College,
Ayya Nadar Janaki Ammal College,
Ayyan Thiruvalluvar College of Arts & Science,
Azad College of Education,
Azad Hind Four Smriti Mahavidyalaya,
Azad Hind Mahavidyalaya,
Azad Mahavidyalaya,
Azad Mahavidyalaya,Azamgarh
Azad Mahavidyalaya,Siddharthnagar
Azeem Memorial National Degree College,Sitapur
B C Bhoomaraddi College of Arts, Commerce & Science College,
B V K Degree College,Visakhapatnam
B. Baruah College,Kamrup
B. P. Poddar Institte of Management and Technology,Kolkata
B. Parauerwarahha Arts & Commerce College,
B. Raghunath Arts, Commerce and Science College,
B.A.J.S.S. Arts & Commerce College for Women,
B.A.J.S.S. First Grade Arts College,
B.B. Arts & N.B. & B.P. Science, Commerce College,
B.B. College,
B.B. Kishan College,Barpeta
B.B. Mahavidyalaya,
B.B.D. Government College,
B.B.H. College,Prakasam
B.B.K.D.A.V. College For Women,
B.B.N. College,
B.B.S. Public Degree College,
B.B.S. Raj Mahavidyalaya,Azamgarh
B.C.M. College of Education,
B.C.T. Kumaon Engineering College,
B.D. College,Patna
B.D. Shah College of Education,
B.D.D.B. Mahila Mahavidyalaya,
B.D.M. Mahavidyalaya,Mathura
B.D.M. Municipal Girls Degree College,
B.D.T. College of Engineering,
B.E.A. College of Education,
B.E.S. College of Education,
B.E.S. College,
B.E.S. Evening College of Arts & Commerce,Bangalore
B.E.S'S Marchant's Arts & Commerce College,
B.E.T. Sadathunnisa College,Bangalore
B.Ed College,
B.G.B.S. Women's College,West Godavari
B.G.S Science Academy, Jnanagangothri Campus,Chikkaballapura
B.H.B. College,Barpeta
B.H.H Degree College for Women,Guntur
B.J. Medical College,Pune
B.J. Vanijya Mahavidyalaya,
B.J.B. Morning College,
B.J.S. Rampuria Jain College,
B.K. Birla College of Arts, Science & Commerce,Thane
B.K. Birla Institute of Higher Education,,
B.K. Majumdar Institute of Business Administration-H.L.B.B.A.,
B.K. Mody Government Pharmacy College,
B.K. Patel Arts & Smt. L.M. Patel Commerce College,
B.K.M. Science College,
B.K.R. Girls Degree College,Ghazipur
B.K.S.N. Govt. College,
B.L. Academy of Higher Education,
B.L. Jindal Sui Wala College,
B.L.D.E. Association Basaveshwar Arts & Commerce College 4,
B.L.D.E. Association’s Smt. Bangaramma Sajjan Arts and Commerce College for Women,
B.L.D.E.A. Sdjanayogi Shri Siddeswar Swami College of Education,
B.L.D.E.A.'S Dr. Bachana Pitamchar P.G. Halakatti College of Engg. & Technology,
B.L.M. Girls College,
B.L.N.L. Bohra College,Sahibganj
B.M. College of Commerce,Pune
B.M. College,Madhubani
B.M. Memorial Degree College,Ambedkar Nagar
B.M. Ruia Girls’ College,
B.M. Shetty First Grade College,
B.M. Sreenivasaiah College for Women,
B.M.A. College,Darbhanga
B.M.B. Girls College,
B.M.D. College,Vaishali
B.M.S. College of Engineering,
B.M.S. College of Law,
B.M.S. Government First Grade College,
B.N. Bandodkar College of Science,
B.N. College of Education,Banka
B.N. College of Education,Jammu
B.N. College of Physical Education,
B.N. College,Dhubri
B.N. College,Patna
B.N. Degree College,
B.N. Girls College,
B.N. Jalan College,
B.N. Patel Institute of Paramedical and Science,Anand
B.N.A.S. Mahavidyalaya,
B.N.K.B. Post - Graduate college,
B.N.M. College,Munger
B.N.M.A. College,
B.N.M.V. College,Madhepura
B.N.S. Girls Degree College of Education,
B.N.V. College,Hamirpur
B.P. Baria Science Institute,Navsari
B.P. Chaliha College,Kamrup
B.P. Mahavidyalaya,Gonda
B.P. Poddar Institute of Management & Technology,Kolkata
B.P. Singh Degree College,
B.P. Sulakhe Commerce College,Solapur
B.P.C.A.'S College of Physical Education,Mumbai
B.P.H.E. Society’s Centre for Studies in Rural Development Institute of Social Work and Research,Ahmadnagar
B.P.H.E. Society’s Institute of Management Studies (Career Development & Research),Ahmadnagar
B.P.S. College of Education,Ahmadnagar
B.P.S. College,Gopalganj
B.P.S. Govt. Medical College for Women,
B.Parameshwarappa Arts And Commerce College,Chitradurga
B.R. Mahila College,Munger
B.R. Tambakad Arts and Commerce First Grade College,Haveri
B.R.B.S. Degree College,
B.R.D. Government Degree College,Sonbhadra
B.R.D. Medical College,Gorakhpur
B.S. College of Physical Education,Belgaum
B.S. College,Lohardaga
B.S. College,Patna
B.S. Educational Kanya Mahavidyalaya,Sitapur
B.S.A. College,Mathura
B.S.K College,Sahibganj
B.S.K. College,Dhanbad
B.S.M. (P.G.) College,Hardwar
B.S.N. Vocational College,Lucknow
B.S.P. College,Mathura
B.S.S. College,Saharsa
B.S.S. Mahavidyalaya,
B.S.S.G. Government College,Ludhiana
B.T. Chanaiah Gowramma Government First Grade College,Kodagu
B.T. Evening College,Chittoor
B.T. Women’s Degree College,
B.T.L. First Grade College,Bangalore
B.V. Parikh Janta College,Purbi Singhbhum
B.V. Raju College,West Godavari
B.V.B. College of Engg. And Technology,Dharwad
B.V.V. Sangha's Basaveshwar Law College,Bagalkot
B.V.V. Sangha's Basaveshwar Science College,Bagalkot
B.V.V. Sangha’s College of Education,Bagalkot
B.V.V. Sangha's S.C. Nandimath Law College,Bagalkot
B.V.V. Sangha's Shri S. R. Kanthi Arts, Commerce And Science College,
B.V.V.S. Akkamahadevi Women’s Arts, Science & Commerce College,Bagalkot
B.V.V.S'S Basaveshwar College of Physical Education,Bagalkot
B.V.V.Sangha’s Institute of Management Studies, Vidyagiri,Bagalkot
B.Y.K. Commerce College,Nashik
Baba Baijnath Degree College,Kanpur Nagar
Baba Baijnath ji Mahavidyalaya,Azamgarh
Baba Baijnath Mahavidyalaya,Azamgarh
Baba Banda Singh Bahadur Engineering College,Fatehgarh Sahib
Baba Bariyar Shah Mahavidyalaya,Sultanpur
Baba Barua Das Degree College,Ambedkar Nagar
Baba Barua Das Shikshan Sansthan Mahila Mahavidyalaya,Ambedkar Nagar
Baba Bhole Maa Parwati Maa Shobhawati Adarsh Mahavidyalaya,Sultanpur
Baba Bhootnath Mahavidyalaya,Paschim Champaran
Baba Bhrigu Mahavidyalaya,
Baba Bihari Lal Educational Institute,Ambedkar Nagar
Baba Budha College,Amritsar
Baba Domandev Mahavidyalaya,,
Baba Farid College of Engineering and Technology,
Baba Farid College of Management and Technology.,Bareilly
Baba Gajadhar Das Balika P.G. College,Ghazipur
Baba Gajjan Das Balika Mahavidyalaya,Ghazipur
Baba Ganesh Datt Degree College,Jaunpur
Baba Gangadas Government Girls College,Jaipur
Baba Gayadeen Baidya Babu Ram Mahavidyalaya,Gonda
Baba Heera Singh Deepa Singh Jee Primary Teachers Training College,Bhojpur
Baba Indradev Girls Educational Institute,Ghazipur
Baba Institute of Technology and Science,
Baba Jagdev Das Maa Amarawati Shivpujan Mahavidyalaya,Mau
Baba Jagdev Yadav Degree College,Allahabad
Baba Jageshwar Nath Mahavidyalaya,Chandauli
Baba Jai Gurudev Smriti Mahavidyalaya Tighra,
Baba Jai Ram Dwivedi Mahavidyalaya,
Baba Kashi Nath Mahavidyalaya,Ballia
Baba Khetanath Mahila Mahavidyalaya,Alwar
Baba Mathuradas Sitaram Mahavidyalaya,Ballia
Baba Mohanram Kissan (Co-Edu.) P.G. College,Alwar
Baba Naik Mahavidyalaya,Sangli
Baba Naipal Smarak Mahavidyalaya,Azamgarh
Baba Namdev University College,Gurdaspur
Baba Panchalingeswar Degree College,
Baba Parmahans Tribhuwan Smarak Mahila Mahavidyalaya,Mau
Baba Parvat Nath Degree College,Sant Kabir Nagar
Baba Prasiddha Narayan Mahavidyalaya,Jaunpur
Baba Raghav Das Post - Graduate College,Deoria
Baba Raghavadas Bhagwan Das Degree College,Deoria
Baba Raghavadas Bhagwandas Mahila Mahavidyalaya,Deoria
Baba Ramcharitra Mahavidyalaya,Ghazipur
Baba Ramdal Surajdev Smarak Mahavidyalaya,Ballia
Baba Ramdas Mahavidyalaya,Bareilly
Baba Ramdev Smarak Mahavidyalaya,Ghazipur
Baba Ramnath Smarak Mahavidyalaya,Ambedkar Nagar
Baba Ramnath Utkarsh Mahavidyalaya,Azamgarh
Baba Ramtahal Das Vishal Mahavidyalaya,Azamgarh
Baba Rishideo Singh  Mahavidyalaya,Ballia
Baba Sadhav Ram Degree College,Azamgarh
Baba Sahab Dr. Bhim Rao Ambedkar Mahavidyalaya,Jaunpur
Baba Saheb Bhim Rao Ambedkar  Government Co-Education College,,Jalandhar
Baba Saheb Dr. Ambedkar Mahavidyalaya,Firozabad
Baba Sahoru Das Smarak (B.S.D.S.) Mahavidyalaya,Azamgarh
Baba Sri Chand Ji Govt. College,Sangrur
Baba Sukhdev Smarak Mahavidyalaya,Ambedkar Nagar
Baba Tapeshwar Mahila Mahavidyalaya,Mau
Baba Thanidas Balika Mahavidyalaya,
Baba Tufani Singh Mahavidyalaya,Chandauli
Baba Vishambhar Das Government Girls College,Sikar
Baba Vishwanath Mahavidyalay,Ghazipur
Baba Vishwanath Mahavidyalaya,Varanasi
Baba Vishwanath Mahavidyalya,Azamgarh
Baba Vishwanath Shikshan Prashikshan Mahavidyalaya,Faizabad
Baba Viswanath Krishak Mahavidyalaya,Azamgarh
Baba Zorawar Singh F.S. Girls Khalsa College,Rupnagar
Babaji Datey Kala Ani Vanijya Mahavidyalaya,Yavatmal
Babasaheb Bhimrao Ambedkar Law College,Lucknow
Babasaheb Chitale Mahavidyalaya,Sangli
Babasaheb Naik College of Engineering,Yavatmal
Babasaheb Ram Sanskrit Mahavidyalaya,Darbhanga
Babbar Akali Memorial Khalsa College,Hoshiarpur
Babe Ke Ayurvedic Medical College & Hospital,Moga
Babe Ke College of Education,Firozpur
Babe Ke College of Education,Moga
Babe Ke Institute of Nursing,Moga
Baboo Ram Singh Mahavidyalaya,Sonbhadra
Babu Anant Ram Janta College,Kaithal
Babu Basant Lal Mahavidyalaya,
Babu Basantlal Rajnarayan Mahavidyalaya,Mirzapur
Babu Bheesham Singh Institute of Higher Education,Rae Bareli
Babu Brij Bihari Singh Mahavidyalaya,Kushinagar
Babu Fateh Bahadur Singh Degree College,Allahabad
Babu Gulab Singh Gaharwar Mahavidyalaya,Mirzapur
Babu Hari Ram Singh Mahavidyalaya,Allahabad
Babu Ishwari Prasad Rawal Memorial College,,
Babu Jagan Prasad Baijnath Sanskrit Mahavidyalaya,Varanasi
Babu Jagjivan Ram Govt. Degree College,Hyderabad
Babu Jai Shanker Gaya Prasad Mahavidyalaya,Unnao
Babu Jangi Singh Degree College,Gorakhpur
Babu K.P. Singh Mahavidyalaya,Azamgarh
Babu Kamta Prasad Jain Mahavidyalaya,Baghpat
Babu Lal Makharia Girls College,
Babu Lalji Singh Mahavidyalaya,Gorakhpur
Babu Mahipati Singh Mahavidyalaya,
Babu Nakki Singh Smarak Mahavidyalaya,Azamgarh
Babu Purushottam Das Radha Raman Das Mahavidyalaya,Gorakhpur
Babu Raghunath Ji Mahila Mahavidyalaya,Azamgarh
Babu Ram Degree College,
Babu Ram Rukmani Devi Mahavidyalaya,Kanpur Dehat
Babu Ram Yadav Mahavidyalaya,Mainpuri
Babu Rameshwar Singh College,Mahoba
Babu Rampal Singh Mahavidyalaya,Moradabad
Babu Sant Bux Mahavidyalaya,Pratapgarh
Babu Shivpattar Rai Smarak Balika Mahavidyalaya,Azamgarh
Babu Shobha Ram Govt. Arts College,Alwar
Babu Singh Mahavidyalaya,Kannauj
Babu Sundar Singh Mahavidyalaya,Bahraich
