Name of the college,District,State
Andhra Vidyahi Vardhani Degree & P.G. College,Warangal,Telangana
Andhra Women's Sanskrit College,Visakhapatnam,Andhra Pradesh
Angappa College of Arts & Science,Coimbatore,Tamil Nadu
Angel Charities Fr. C. Rodrigues Institute of Technology,Mumbai,Maharashtra
Angel College of Engineering and Technology,Tiruppur,Tamil Nadu
Angoori Devi College of Law Education,Bulandshahr,Uttar Pradesh
Angppa College of Arts & Science,Coimbatore,Tamil Nadu
Angul Mahila Mahavidyalaya,,Odisha
Aniket College of Social Work,Wardha,Maharashtra
Anil Neerukonda Institute of Technology & Sciences,Visakhapatnam,Andhra Pradesh
Anitha Venkateswara Rao College of Education,Guntur,Andhra Pradesh
Anjali Institute of Management and Science,Agra,Uttar Pradesh
Anjani Girdhari Adarsh Mahavidyalaya,,Uttar Pradesh
Anju Priyanka Degree College,,Uttar Pradesh
Anjum Mahila Mahavidyalaya,Kushinagar,Uttar Pradesh
Anjuman Arts Science & Commerce College,,Karnataka
Anjuman Arts Science & Commerce College,Bijapur,Karnataka
Anjuman Arts Science and Commerce College,Dharwad,Karnataka
Anjuman B.Ed College,Kheda,Gujarat
Anjuman College of Arts and Commerce,Belgaum,Karnataka
Anjuman Education Trust B.Ed College,Kheda,Gujarat
Anjuman Education Trust M.Ed. College,Kheda,Gujarat
Anjuman Imadaut Tulba's Arts Commerce & Science  Night College,Nashik,Maharashtra
Anjuman-E-Islam's Nehru Arts Science and commerce College,Dharwad,Karnataka
Anjuman-I-Islam’s Kaleskar Technical Campus School of Engineering & Technology,,Maharashtra
Anjuman-I-Islam’s Kaleskar Technical Campus School of Pharmacy,,Maharashtra
Anna Adarsh College for Women Shanthi Colony,Chennai,Tamil Nadu
Annada College,Hazaribagh,Jharkhand
Annai College of Arts & Science,,Tamil Nadu
Annai Fathima College of Arts and Science,Madurai,Tamil Nadu
Annai Mathammal Sheela Engineering College,Namakkal,Tamil Nadu
Annai Vailankanni Arts & Science College,Thanjavur,Tamil Nadu
Annai Vailankanni College of Engineering,,Tamil Nadu
Annai Velankanni College,,Tamil Nadu
Annamacharya College of Pharmacy,Y.S.R.,Andhra Pradesh
Annamacharya Institute of Technology & Science,,Telangana
Annamacharya Institute of Technology & Sciences,Chittoor,Andhra Pradesh
Annamacharya Institute of Technology & Sciences,Y.S.R.,Andhra Pradesh
Annamacharya Institute of Technology and Sciences,,Andhra Pradesh
Annamacharya PG College of Computer Studies.,,Andhra Pradesh
Annammal College of Education for Women,,Tamil Nadu
Annapoorana Engineering College,Salem,Tamil Nadu
Annapurnadevi Vidya Prasarak Sanstha Sanchalit Late. Annasaheb Pitambar Shankar Wadile Arts College,Dhule,Maharashtra
Annasaheb Dange College of B Pharmacy,Sangli,Maharashtra
Annasaheb Dange College of Engineering & Technology,Sangli,Maharashtra
Annasaheb Gundewar College,Nagaon,Maharashtra
Annasaheb Magar Mahavidyalaya,Pune,Maharashtra
Annasaheb Vartak College of Arts & Kedarnath Malhotra College of Commerce & E.S. Andrades College of Science,Thane,Maharashtra
Annasaheb Waghire Arts Science and Commerce College,Pune,Maharashtra
Annavaram Satyavati Devi  Govt. College for Women,East Godavari,Andhra Pradesh
Anooplal Yadav Mahavidyalaya,Supaul,Bihar
Ansal Institute of Technology,Gurgaon,Delhi
Ansar Arabic College,Malappuram,Kerala
Antyoday Mahavidyalaya Devgram,Nagpur,Maharashtra
Anubis Degree College,Bareilly,Uttar Pradesh
Anubose Institute of Technology,Khammam,Telangana
Anupama Rai Memorial College of Education,,Uttar Pradesh
Anuradha Engineering College,Buldana,Maharashtra
Anurag College of Pharmacy,Nagpur,Maharashtra
Anurag Engineering College,Nalgonda,Telangana
Anurag Group of Institutions,Rangareddy,Telangana
Anushri Mahavidyalaya,,Uttar Pradesh
Anvarul Islam Arabic College,Malappuram,Kerala
Anvarul Islam Women’s Arabic College,Malappuram,Kerala
Anwar - Ul - Uloom College (Afternoon) of Arts & Commerce,Hyderabad,Telangana
Anwar-Ul-Uloom College of Business Management,Hyderabad,Telangana
Anwarul-Uloom College,Hyderabad,Telangana
AP.S.M. College,Begusarai,Bihar
Apeejay College of Fine Arts,Jalandhar,Punjab
Apeejay Institute of Management & Engineering Technical Campus.,Jalandhar,Punjab
Apeejay Sareswati College for Girls,Bhiwani,Haryana
Apex College,Nagaur,Rajasthan
Apital Law College,,Odisha
Apollo College Opp. Veterinary College,Durg,Chhattisgarh
Appasaheb Birnale College of Pharmacy,Sangli,Maharashtra
Appasaheb Ragunathrao Bhaurao  Garud Arts Commerce  & Science College,Jalgaon,Maharashtra
Appaswami Mahavidyalaya,Washim,Maharashtra
Apsam College of Education,Bhojpur,Bihar
Aqsa Women’s Degree College,Thane,Maharashtra
Aquinas College,,Kerala
Arambagh Girls’ College,Hugli,West Bengal
Araria College,Araria,Bihar
Arasu Engineering College,Thanjavur,Tamil Nadu
Aravali P.G. College,Sikar,Rajasthan
Archana Girls Degree College,,Uttar Pradesh
Arcot Sri Mahaalakshmi Women’s College,,Tamil Nadu
Arignal Anna Government Arts College,Viluppuram,Tamil Nadu
Arignar Anna College,Kanniyakumari,Tamil Nadu
Arignar Anna Government Arts & Science College,Karaikal,Puducherry
Arignar Anna Government Arts College,Salem,Tamil Nadu
Arignar Anna Government Arts College,Tiruchirappalli,Tamil Nadu
Arignar Anna Government Arts College,Tiruvannamalai,Tamil Nadu
Arignar Anna Government Arts College for Men,Namakkal,Tamil Nadu
Arignar Anna Government Arts College for Women,Vellore,Tamil Nadu
Arihant Charitable Trust’s Arihant Charitable Minority B.S.W College,,Karnataka
Arihant College,Indore,Madhya Pradesh
Aristotle P.G. College,Rangareddy,Telangana
Arjan Dass College,Firozpur,Punjab
Arjun College of Technology,Coimbatore,Tamil Nadu
Arjun College of Technology & Sciences,Hyderabad,Telangana
Arjun Girls Degree College,Mau,Uttar Pradesh
Arjun Prasad Mahila Mahavidyalaya,Ambedkar Nagar,Uttar Pradesh
Arjun Singh Mahavidyalaya,Varanasi,Uttar Pradesh
Arjunganj Vidhya Mandir Degree College,Lucknow,Uttar Pradesh
Armapore Degree (PG) College,Kanpur Nagar,Uttar Pradesh
Armed Forces Medical College,Pune,Maharashtra
Army Institute o Education,Gautam Buddha Nagar,Uttar Pradesh
Army Institute of Technology (AIT),Pune,Maharashtra
Aronai College,Kokrajhar,Assam
Arpit Girls Degree College,,Uttar Pradesh
Arputha College of Arts and Science,Pudukkottai,Tamil Nadu
Arts & Commerce College,Surat,Gujarat
Arts & Commerce College,Chhindwara,Madhya Pradesh
Arts & Commerce College,,Gujarat
Arts & Commerce College,Sangli,Maharashtra
Arts & Commerce College,Pune,Maharashtra
Arts & Commerce College,Chhindwara,Madhya Pradesh
Arts & Commerce College,Jalgaon,Maharashtra
Arts & Commerce College,Satara,Maharashtra
Arts & Commerce College,Chandrapur,Maharashtra
Arts & Commerce College,,Gujarat
Arts & Commerce College,Buldana,Maharashtra
Arts & Commerce Degree College,Bhandara,Maharashtra
Arts & Commerce Girls Mahavidyalaya,Raipur,Chhattisgarh
Arts & Science College,,Maharashtra
Arts & Science College,,Maharashtra
Arts & Science College,,Maharashtra
Arts & Science College for Women,,Telangana
Arts and Commerce College,Satara,Maharashtra
Arts and Commerce College,Yavatmal,Maharashtra
Arts and Commerce College,,Gujarat
Arts and Commerce College,Sangli,Maharashtra
Arts and Commerce College,Pune,Maharashtra
Arts and Commerce College,Sangli,Maharashtra
Arts and Commerce College,Sangli,Maharashtra
Arts and Commerce College,Satara,Maharashtra
Arts and Commerce College,,Gujarat
Arts and Commerce College,Pune,Maharashtra
Arts and Commerce College,Nashik,Maharashtra
Arts and Commerce College,Satara,Maharashtra
Arts and Commerce College,Amravati,Maharashtra
Arts and Commerce Mahila Mahavidyalaya,Bid,Maharashtra
Arts and Science College,Amravati,Maharashtra
Arts and Science College,Bid,Maharashtra
Arts and Science Mahila Mahavidyalaya,Budaun,Maharashtra
Arts College,Panch Mahals,Gujarat
Arts College,,Gujarat
Arts College,Sabar Kantha,Gujarat
Arts College,Buldana,Maharashtra
Arts College fo Education,,Uttar Pradesh
Arts Degree College,Rewa,Madhya Pradesh
Arts Comm. & Science College,Nanded,Maharashtra
Arts Commerce & Science College,Jalgaon,Maharashtra
Arts Commerce & Science College,,Maharashtra
Arts Commerce & Science College,Wardha,Maharashtra
Arts Commerce & Science College,Nashik,Maharashtra
Arts Commerce & Science College,Nanded,Maharashtra
Arts Commerce & Science College,Jalgaon,Maharashtra
Arts Commerce & Science College,,Maharashtra
Arts Commerce & Science College,Yavatmal,Maharashtra
Arts Commerce & Science College,Amravati,Maharashtra
Arts Commerce and Science College,Sangli,Maharashtra
Arts Commerce and Science College,Kolhapur,Maharashtra
Arts Commerce and Science College,Pune,Maharashtra
Arts Commerce and Science College,Chandrapur,Maharashtra
Arts Commerce and Science College,,Maharashtra
Arts Commerce College,Satara,Maharashtra
Arts Commerce College,Amravati,Maharashtra
Arts Comomerce & Science College,Nashik,Maharashtra
Arts Comomerce & Science College,Pune,Maharashtra
Arts Science & Commerce College,Jalna,Maharashtra
Arts Science & Commerce College,Nashik,Maharashtra
Arts Science & Commerce College,Sangli,Maharashtra
Arts Science & Commerce College,Pune,Maharashtra
Arts Science & Commerce College,Pune,Maharashtra
Arts Science & Commerce College,,Maharashtra
Arts Science & Commerce College,Osmanabad,Maharashtra
Arts Science & Commerce College,Nashik,Maharashtra
Arts Science & Commerce College,,Maharashtra
Arts Science and Commerce College,Amravati,Maharashtra
Arts Science and Commerce College,,Maharashtra
Arts Science and Commerce College,Amravati,Maharashtra
Arts Science and R.A. Patel Commerce College,,Gujarat
Arul Anandar College,Madurai,Tamil Nadu
Arulmigu Kalasalingam College of Arts & Science,Virudhunagar,Tamil Nadu
Arulmigu Kalasalingam College of Education,Virudhunagar,Tamil Nadu
Arulmigu Kalasalingam College of Engineering,Virudhunagar,Tamil Nadu
Arulmigu Kalasalingam College of Pharmacy,Virudhunagar,Tamil Nadu
Arulmigu Palaniandavar College of Arts & Culture,Dindigul,Tamil Nadu
Arumugam Pillai Seethai Ammal College,Sivagangai,Tamil Nadu
Arun Kumar Keshari Mahila Mahavidyalaya,Sonbhadra,Uttar Pradesh
Aruna Memorial Saraswati Mahavidyalaya,Mau,Uttar Pradesh
Arunachala College of Engineering for Women,,Tamil Nadu
Arunai Engineering College,Tiruvannamalai,Tamil Nadu
Arunodaya Dnyan Prasarak Mandal's Women's College of Arts Commerce & Home Science,Jalgaon,Maharashtra
Arvindbabu Deshmukh Mahavidyalaya,Nagpur,Maharashtra
Arya College,Ludhiana,Punjab
Arya College,Panipat,Haryana
Arya College of Engineering,,Rajasthan
Arya College of Engineering & Information Technology,Jaipur,Rajasthan
Arya College of Pharmacy,,Rajasthan
Arya Girls College,Ambala,Haryana
Arya Kanya Degree College,Hardoi,Uttar Pradesh
Arya Kanya Degree College,Almora,Uttarakhand
Arya Kanya Degree College,Allahabad,Uttar Pradesh
Arya Kanya Mahavidyalya,Kurukshetra,Haryana
Arya Kanya Pathshala Degree College,Ghaziabad,Uttar Pradesh
Arya Kanya Post Graduate College,Jhansi,Uttar Pradesh
Arya Khajano Devi Mahavidyalaya,,Uttar Pradesh
Arya Mahila Degree College,Shahjahanpur,Uttar Pradesh
Arya Mahila P.G. College,Varanasi,Uttar Pradesh
Arya Shikshak Prashikshan Mahavidyalaya,Sikar,Rajasthan
Arya Vidyapeeth Kanya Mahavidyalaya,Bharatpur,Rajasthan
Arya Vidyapeeth Mahila Teachers' Training college,Bharatpur,Rajasthan
Arya Vidyapith College,Kamrup,Assam
Aryabhatta College,New Delhi,Delhi
Aryakul College of Education,Lucknow,Uttar Pradesh
Aryakul College of Pharmacy & Research Sitapur,Sitapur,Uttar Pradesh
Aryakul College of Pharmacy & Research,,Uttar Pradesh
Aryan Institute of Management & Computer Studies,Agra,Uttar Pradesh
Aryavart Institute of Higher Education,Lucknow,Uttar Pradesh
Asan Memorial College of Engineering & Technology,,Tamil Nadu
Asannagar Madan Mohan Tarkalankar College,Nadia,West Bengal
Asansol Engineering College,Kolkata,West Bengal
Asansol Girls College,,West Bengal
ASC Degree College,Bangalore,Karnataka
Asha Bhagwan Bux Singh Mahavidyalaya,,Uttar Pradesh
Asha Mahavidyalaya,Ghazipur,Uttar Pradesh
Asha Mahavidyalaya,Varanasi,Uttar Pradesh
Asha Singh Mahavidyalaya,Ballia,Uttar Pradesh
Asharfi Lal Shukla Mahavidyalaya,Jalaun,Uttar Pradesh
Ashbhai Maganbhai Patel College of Commerce,Mumbai,Maharashtra
Ashok & Rita Patel Institute of Integrated Study & Research in Biotechnology And Allied Sciences (Aribas),Anand,Gujarat
Ashok Mahavidyalaya,Basti,Uttar Pradesh
Ashok Mahavidyalaya,Unnao,Uttar Pradesh
Ashok Shukla Mahila Mahavidyalaya,Jalaun,Uttar Pradesh
Ashoka College of Education,Jammu,Jammu and Kashmir
Ashoka Education  Foundation’s Ashoka International Centre for Educational Studies & Research,Nashik,Maharashtra
Ashoka Education Foundation’s Ashoka Center for Business and Computer Studies,Nashik,Maharashtra
Ashoka Women’s Engineering College,Kurnool,Andhra Pradesh
Ashrampatana Degree College,,Odisha
Ashtang Ayruved College,Pune,Maharashtra
Ashti Taluka Shikshan Prasarak Mandal's Adv. B.D. Hambarde Mahavidyalaya,,Maharashtra
Ashutosh College,,West Bengal
Ashwaghosh Education and Vyayam Prasarak Mandal’s Women’s College of Bachelor in Computer Application,,Maharashtra
Asian Educational Institute,,Punjab
Asian Vidhi Evam Nayaik Vigyan Mahavidyalaya,Bareilly,Uttar Pradesh
Asian Worker Dev Institute,,Odisha
Asim Siddique Memorial Degree College,Budaun,Uttar Pradesh
Aska Science College,Ganjam,Odisha
Asom Sattriya Sangit Mahavidyalaya,Jorhat,Assam
ASS & SPS's Sh. Dh. Aggarwal Arts RA Commerce and C.C.S. And M.G.A. Science College,,Maharashtra
Assam Engineering College,Kamrup,Assam
Assam Medical College,Dibrugarh,Assam
ASSMP'S College of Arts,,Maharashtra
Assumption College,,Kerala
Astron College of Education,,Uttar Pradesh
Asufu Christian Institute,Senapati,Manipur
Atal Behari College,,Odisha
Atal Bihari Vajpayee Government College,,Chhattisgarh
Atal Bihari Vajpayee Government Degree College,Una,Himachal Pradesh
Atal Bihari Vajpayee Government Degree College,,Himachal Pradesh
Atal Bihari Vajpayee Institute of Medical Science & Dr. Ram Manohar Lohia Hospital,,Delhi
Atal Bihari Vajpayee Nagar Nigam Degree College,Lucknow,Uttar Pradesh
Atar Singh Degree College,,Uttar Pradesh
Atarra Post Graduate College,,Uttar Pradesh
Atash College of Management & Technology,,Madhya Pradesh
Atharva Educational Trust’s Atharva College of Engineering,Mumbai,Maharashtra
Athawale College of Social Work,,Maharashtra
Athawale College of Social Work,,Maharashtra
Athmallik College,,Odisha
Ati Bal Singh Mahavidyalaya,,Uttar Pradesh
Atma Prakash Adarsh Mahavidyalaya,Ghazipur,Uttar Pradesh
Atma Ram Mahavidyalaya,Budaun,Uttar Pradesh
Atma Ram Sanatan Dharma College,New Delhi,Delhi
Atman College of Education,Jammu,Jammu and Kashmir
ATME College of Engineering,Mysore,Karnataka
Atmiya Institute of Technology & Science,,Gujarat
Atria Institute of Technology,,Karnataka
Attabira College,,Odisha
Audisankara College of Engineering & Technology,Sri Potti Sriramulu Nellore,Andhra Pradesh
Audisankara Institute of Technology,Sri Potti Sriramulu Nellore,Andhra Pradesh
Audyogik Shikshan Mandal’s College of Commerce Science and Information Technology (CSIT),Pune,Maharashtra
Audyogik Shikshan Mandal’s Institute of Business Management & Research (IBMR),Pune,Maharashtra
Audyogik Shikshan Mandal’s Institute of International Business & Research (IIBR),Pune,Maharashtra
Audyogik Shikshan Mandal’s Institute of Management & Computer Studies,Mumbai,Maharashtra
Audyogik Shikshan Mandal’s Institute of Professional Studies (IPS),Pune,Maharashtra
Audyogik Tantra Shikshan Sanstha ATSS College of Business Studies & Computer Application,Pune,Maharashtra
Aul College,,Odisha
Aurora’s P.G. College-MBA,,Telangana
Aurora’s P.G. College-MCA,Hyderabad,Telangana
Aurora’s P.G. College-MCA,Hyderabad,Telangana
Aurora’s Post Graduate College (MBA),Hyderabad,Telangana
Aurora’s Post Graduate College (MCA),Hyderabad,Telangana
Aurora’s Technological and Research Institute,,Telangana
Auurveda & Unani Tibbia College,,Delhi
Auxilium College,,Tamil Nadu
Auxilium College of Arts & Science for Women,,Tamil Nadu
Avadh Girls Degree College,,Uttar Pradesh
Avanthi Institute of Engineering & Technology,Hyderabad,Telangana
Avanthi Institute of Engineering and Technology,Visakhapatnam,Andhra Pradesh
Avanthi Institute of Engineering and Technology,Vizianagaram,Andhra Pradesh
Avanthi Institute of Pharmaceutical Sciences  Cherukupally Village,Vizianagaram,Andhra Pradesh
AVN Institute of Engineering & Technology,Rangareddy,Telangana
AVS College of Arts & Science,Salem,Tamil Nadu
AVS Engineering College,Salem,Tamil Nadu
Avvaiyar Government College for Women,,Puducherry
Awadh Bihari Sanskrit Mahavidyalaya,Khagaria,Bihar
Awadh Bihari Singh Mahavidyalaya,Vaishali,Bihar
Awadh Centre of Education for Women,,Uttar Pradesh
Awadh Narayan Singh Mahavidyalaya,,Uttar Pradesh
Awadhesh Singh Mahavidyalaya,,Uttar Pradesh
Awadhesh Suresh Singh Smarak Mahavidyalaya,,Uttar Pradesh
Awadhoot Bhagwan Ram P. G. College,,Uttar Pradesh
Ayachi Mithila Mahila College,Darbhanga,Bihar
Ayodhya Prasad Dwivedi Degree College,,Uttar Pradesh
Ayodhya Prasad Memorial Degree College,,Uttar Pradesh
Ayodhya Prasad Mishra Mahavidyalaya,Unnao,Uttar Pradesh
Ayurved Mahavidyalaya,,Maharashtra
Ayurved Mahavidyalaya,,Maharashtra
Ayurvedi Mahavidyalaya Samiti's,,Karnataka
Ayurvedic College,,Kerala
Ayya Nadar Janaki Ammal College,,Tamil Nadu
Ayyan Thiruvalluvar College of Arts & Science,,Tamil Nadu
Azad College of Education,,Maharashtra
Azad Hind Four Smriti Mahavidyalaya,,West Bengal
Azad Hind Mahavidyalaya,,Uttar Pradesh
Azad Mahavidyalaya,Siddharthnagar,Uttar Pradesh
Azad Mahavidyalaya,Azamgarh,Uttar Pradesh
Azad Mahavidyalaya,,Maharashtra
Azeem Memorial National Degree College,Sitapur,Uttar Pradesh
B C Bhoomaraddi College of Arts Commerce & Science College,,Karnataka
B V K Degree College,Visakhapatnam,Andhra Pradesh
B. Baruah College,Kamrup,Assam
B. P. Poddar Institte of Management and Technology,Kolkata,West Bengal
B. Parauerwarahha Arts & Commerce College,,Karnataka
B. Raghunath Arts Commerce and Science College,,Maharashtra
B.A.J.S.S. Arts & Commerce College for Women,,Karnataka
B.A.J.S.S. Arts & Commerce College for Women,,Karnataka
B.A.J.S.S. First Grade Arts College,,Karnataka
B.B. Arts & N.B. & B.P. Science Commerce College,,Maharashtra
B.B. College,,Odisha
B.B. Kishan College,Barpeta,Assam
B.B. Mahavidyalaya,,Odisha
B.B.D. Government College,,Rajasthan
B.B.H. College,Prakasam,Andhra Pradesh
B.B.K.D.A.V. College For Women,,Punjab
B.B.N. College,,Himachal Pradesh
B.B.S. Public Degree College,,Uttar Pradesh
B.B.S. Raj Mahavidyalaya,Azamgarh,Uttar Pradesh
B.C.M. College of Education,,Chandigarh
B.C.T. Kumaon Engineering College,,Uttarakhand
B.D. College,Patna,Bihar
B.D. Shah College of Education,,Gujarat
B.D.D.B. Mahila Mahavidyalaya,,Uttar Pradesh
B.D.M. Mahavidyalaya,Mathura,Uttar Pradesh
B.D.M. Municipal Girls Degree College,,Uttar Pradesh
B.D.T. College of Engineering,,Karnataka
B.E.A. College of Education,,Karnataka
B.E.S'S Marchant's Arts & Commerce College,,Karnataka
B.E.S. College,,Karnataka
B.E.S. College of Education,,Karnataka
B.E.S. Evening College of Arts & Commerce,Bangalore,Karnataka
B.E.T. Sadathunnisa College,Bangalore,Karnataka
B.Ed College,,Maharashtra
B.Ed College,,Maharashtra
B.G.B.S. Women's College,West Godavari,Andhra Pradesh
B.G.S Science Academy Jnanagangothri Campus,Chikkaballapura,Karnataka
B.H.B. College,Barpeta,Assam
B.H.H Degree College for Women,Guntur,Andhra Pradesh
B.J. Medical College,Pune,Maharashtra
